country,sex,age,lx,ex
AUT,female,85-89,59911.309,6.7457
AUT,female,90-94,36575.614,4.3891
AUT,female,95+,13505.686,2.8412
AUT,male,<1,100000.0,79.7528
AUT,male,1-4,99710.252,78.9841
AUT,male,5-9,99619.831,75.0547
AUT,male,10-14,99589.248,70.0769
AUT,male,15-19,99545.14,65.1068
AUT,male,20-24,99388.982,60.2044
AUT,male,25-29,99146.586,55.3456
AUT,male,30-34,98902.681,50.4758
AUT,male,35-39,98591.508,45.6267
AUT,male,40-44,98182.87,40.8058
AUT,male,45-49,97577.258,36.0424
AUT,male,50-54,96585.705,31.3848
AUT,male,55-59,94948.391,26.8789
AUT,male,60-64,92086.092,22.6306
AUT,male,65-69,87578.665,18.6577
AUT,male,70-74,80788.096,15.003
AUT,male,75-79,71415.693,11.6302
AUT,male,80-84,59268.943,8.4771
AUT,male,85-89,42286.446,5.8238
AUT,male,90-94,21977.421,3.9024
AUT,male,95+,6716.58,2.6215
AZE,female,<1,100000.0,77.2851
AZE,female,1-4,98721.175,77.2847
AZE,female,5-9,98459.752,73.4857
AZE,female,10-14,98356.558,68.5605
AZE,female,15-19,98248.334,63.633
AZE,female,20-24,98080.406,58.7375
AZE,female,25-29,97877.355,53.8541
AZE,female,30-34,97658.048,48.9693
AZE,female,35-39,97394.034,44.095
AZE,female,40-44,97025.097,39.2525
AZE,female,45-49,96454.902,34.4687
AZE,female,50-54,95532.749,29.7753
AZE,female,55-59,93930.132,25.2369
AZE,female,60-64,91252.041,20.8985
AZE,female,65-69,86917.0,16.8067
AZE,female,70-74,79964.621,13.0336
AZE,female,75-79,68588.543,9.7493
AZE,female,80-84,51686.101,7.0795
AZE,female,85-89,31306.799,5.046
AZE,female,90-94,13476.251,3.6007
AZE,female,95+,3612.242,2.5467
AZE,male,<1,100000.0,71.7063
AZE,male,1-4,98458.813,71.8269
AZE,male,5-9,98180.468,68.0259
AZE,male,10-14,98049.715,63.1136
AZE,male,15-19,97896.011,58.2083
AZE,male,20-24,97581.023,53.3874
AZE,male,25-29,97168.919,48.6031
AZE,male,30-34,96715.741,43.8188
AZE,male,35-39,96144.78,39.0635
AZE,male,40-44,95321.448,34.3778
AZE,male,45-49,93952.593,29.8392
AZE,male,50-54,91722.112,25.4996
AZE,male,55-59,88204.313,21.4096
AZE,male,60-64,82901.9,17.6094
AZE,male,65-69,75257.846,14.1299
AZE,male,70-74,64635.835,11.0207
AZE,male,75-79,50682.385,8.3405
AZE,male,80-84,34158.313,6.1492
AZE,male,85-89,18124.253,4.4315
AZE,male,90-94,6589.159,3.1979
AZE,male,95+,1427.858,2.3001
BDI,female,<1,100000.0,65.8813
BDI,female,1-4,96862.42,67.0107
BDI,female,5-9,95641.664,63.8394
BDI,female,10-14,94200.3,59.7811
BDI,female,15-19,93388.619,55.2798
BDI,female,20-24,92340.887,50.8767
BDI,female,25-29,91041.543,46.5666
BDI,female,30-34,89540.112,42.3044
BDI,female,35-39,87874.644,38.0583
BDI,female,40-44,85988.906,33.8364
BDI,female,45-49,83692.395,29.6947
BDI,female,50-54,81072.889,25.5708
BDI,female,55-59,77601.461,21.5977
BDI,female,60-64,73137.236,17.7566
BDI,female,65-69,66738.661,14.2044
BDI,female,70-74,57596.344,11.0411
BDI,female,75-79,45229.793,8.3489
BDI,female,80-84,30550.818,6.1402
BDI,female,85-89,16054.412,4.4841
BDI,female,90-94,5935.812,3.262
BDI,female,95+,1326.223,2.3353
BDI,male,<1,100000.0,61.7524
BDI,male,1-4,96183.505,63.1966
BDI,male,5-9,94779.452,60.1021
BDI,male,10-14,93117.245,56.1336
BDI,male,15-19,92096.814,51.7286
BDI,male,20-24,90666.687,47.5015
BDI,male,25-29,88650.017,43.5242
BDI,male,30-34,86587.537,39.5013
BDI,male,35-39,84424.067,35.4489
BDI,male,40-44,82063.688,31.395
BDI,male,45-49,79264.381,27.4132
BDI,male,50-54,75915.674,23.5078
BDI,male,55-59,71464.749,19.8098
BDI,male,60-64,65956.304,16.2476
BDI,male,65-69,58479.204,12.989
BDI,male,70-74,48682.795,10.0803
BDI,male,75-79,36481.036,7.5918
BDI,male,80-84,23051.237,5.5559
BDI,male,85-89,11094.212,3.966
BDI,male,90-94,3469.325,2.7657
BDI,male,95+,549.459,2.0424
BEL,female,<1,100000.0,84.4478
BEL,female,1-4,99751.858,83.6575
BEL,female,5-9,99697.937,79.702
BEL,female,10-14,99669.423,74.7241
BEL,female,15-19,99640.997,69.7446
BEL,female,20-24,99573.109,64.7903
BEL,female,25-29,99483.089,59.8465
BEL,female,30-34,99370.112,54.9115
BEL,female,35-39,99197.648,50.0024
BEL,female,40-44,98950.716,45.1207
BEL,female,45-49,98548.57,40.2938
BEL,female,50-54,97858.375,35.559
BEL,female,55-59,96777.653,30.926
BEL,female,60-64,95083.382,26.4292
BEL,female,65-69,92367.634,22.1277
BEL,female,70-74,88632.734,17.9495
BEL,female,75-79,83070.103,13.9722
BEL,female,80-84,74471.857,10.2743
BEL,female,85-89,60095.824,7.0842
BEL,female,90-94,38099.309,4.6623
BEL,female,95+,15342.445,3.0167
BEL,male,<1,100000.0,80.0645
BEL,male,1-4,99675.408,79.3248
BEL,male,5-9,99619.552,75.3685
BEL,male,10-14,99584.861,70.3939
BEL,male,15-19,99542.974,65.4224
BEL,male,20-24,99423.312,60.4975
BEL,male,25-29,99183.308,55.6377
BEL,male,30-34,98911.578,50.7834
BEL,male,35-39,98564.47,45.9533
BEL,male,40-44,98094.183,41.161
BEL,male,45-49,97417.282,36.428
BEL,male,50-54,96372.686,31.794
BEL,male,55-59,94735.551,27.297
BEL,male,60-64,92011.344,23.0251
BEL,male,65-69,87650.46,19.0384
BEL,male,70-74,81375.909,15.3034
BEL,male,75-79,72660.486,11.8211
BEL,male,80-84,60420.798,8.6832
BEL,male,85-89,43617.443,6.0206
BEL,male,90-94,23458.493,4.0406
BEL,male,95+,7578.813,2.713
BEN,female,<1,100000.0,62.4164
BEN,female,1-4,95320.107,64.4715
BEN,female,5-9,92854.506,62.1338
BEN,female,10-14,91098.747,58.2889
BEN,female,15-19,90108.47,53.9027
BEN,female,20-24,88901.727,49.5986
BEN,female,25-29,87433.793,45.3886
BEN,female,30-34,85745.962,41.2317
BEN,female,35-39,83870.299,37.0972
BEN,female,40-44,81759.916,32.9884
BEN,female,45-49,79265.958,28.9462
BEN,female,50-54,76477.78,24.9077
BEN,female,55-59,72874.953,21.0103
BEN,female,60-64,68270.141,17.2514
BEN,female,65-69,61782.754,13.7849
BEN,female,70-74,52695.598,10.7093
BEN,female,75-79,40691.914,8.1047
BEN,female,80-84,26877.021,5.972
BEN,female,85-89,13719.258,4.3778
BEN,female,90-94,4903.508,3.2018
BEN,female,95+,1057.611,2.3059
BEN,male,<1,100000.0,59.5174
BEN,male,1-4,94384.679,62.0462
BEN,male,5-9,91670.905,59.829
BEN,male,10-14,89940.326,55.9382
BEN,male,15-19,88936.26,51.5419
BEN,male,20-24,87527.185,47.3279
BEN,male,25-29,85540.961,43.3677
BEN,male,30-34,83510.803,39.3611
BEN,male,35-39,81384.561,35.3235
BEN,male,40-44,79067.312,31.2839
BEN,male,45-49,76324.573,27.3159
BEN,male,50-54,73051.104,23.4236
BEN,male,55-59,68717.667,19.7367
BEN,male,60-64,63362.78,16.1855
BEN,male,65-69,56114.841,12.9368
BEN,male,70-74,46641.238,10.0373
BEN,male,75-79,34867.893,7.5586
BEN,male,80-84,21957.555,5.5313
BEN,male,85-89,10516.423,3.9493
BEN,male,90-94,3266.892,2.7553
BEN,male,95+,513.09,2.037
BFA,female,<1,100000.0,63.4321
BFA,female,1-4,95230.347,65.5995
BFA,female,5-9,92675.719,63.361
BFA,female,10-14,91535.737,59.124
BFA,female,15-19,90878.387,54.5333
BFA,female,20-24,89872.017,50.1138
BFA,female,25-29,88576.11,45.8097
BFA,female,30-34,87120.491,41.5328
BFA,female,35-39,85589.173,37.2307
BFA,female,40-44,83866.959,32.9426
BFA,female,45-49,81883.735,28.6788
BFA,female,50-54,79553.647,24.4426
BFA,female,55-59,76377.116,20.3501
BFA,female,60-64,72027.932,16.419
BFA,female,65-69,65338.098,12.8265
BFA,female,70-74,55525.995,9.6253
BFA,female,75-79,41612.377,6.9693
BFA,female,80-84,25119.376,4.8872
BFA,female,85-89,10489.628,3.4178
BFA,female,90-94,2566.014,2.3381
BFA,female,95+,269.017,1.7314
BFA,male,<1,100000.0,59.1086
BFA,male,1-4,93950.785,61.9005
BFA,male,5-9,91060.709,59.8126
BFA,male,10-14,89839.936,55.5963
BFA,male,15-19,89069.271,51.0556
BFA,male,20-24,87918.86,46.6878
BFA,male,25-29,86187.048,42.5746
BFA,male,30-34,84482.367,38.3833
BFA,male,35-39,82589.521,34.2044
BFA,male,40-44,80455.103,30.0438
BFA,male,45-49,77760.412,25.9949
BFA,male,50-54,74371.141,22.061
BFA,male,55-59,69823.664,18.3272
BFA,male,60-64,63771.127,14.8181
BFA,male,65-69,55550.385,11.6241
BFA,male,70-74,44952.63,8.7522
BFA,male,75-79,31656.928,6.3477
BFA,male,80-84,17501.708,4.4818
BFA,male,85-89,6565.746,3.1067
BFA,male,90-94,1333.842,2.1111
BFA,male,95+,105.043,1.5733
BGD,female,<1,100000.0,76.6671
BGD,female,1-4,98401.429,76.9107
BGD,female,5-9,97984.923,73.2308
BGD,female,10-14,97665.73,68.4632
BGD,female,15-19,97407.561,63.6371
BGD,female,20-24,96947.708,58.9269
BGD,female,25-29,96563.567,54.1519
BGD,female,30-34,96185.339,49.3546
BGD,female,35-39,95743.476,44.5707
BGD,female,40-44,95135.335,39.8382
BGD,female,45-49,94194.917,35.2099
BGD,female,50-54,92799.416,30.6984
BGD,female,55-59,90545.047,26.3971
BGD,female,60-64,87521.096,22.2186
BGD,female,65-69,83003.047,18.2814
BGD,female,70-74,76046.628,14.7122
BGD,female,75-79,66445.488,11.4582
BGD,female,80-84,53364.069,8.6265
BGD,female,85-89,37209.737,6.2632
BGD,female,90-94,20473.481,4.3631
BGD,female,95+,7444.528,2.9529
BGD,male,<1,100000.0,73.3038
BGD,male,1-4,98229.968,73.6227
BGD,male,5-9,97827.214,69.9194
BGD,male,10-14,97543.603,65.1164
BGD,male,15-19,97298.426,60.2733
BGD,male,20-24,96834.145,55.5499
BGD,male,25-29,96405.78,50.786
BGD,male,30-34,95944.554,46.0175
BGD,male,35-39,95358.81,41.2846
BGD,male,40-44,94666.623,36.5673
BGD,male,45-49,93623.378,31.9447
BGD,male,50-54,91791.331,27.5275
BGD,male,55-59,88581.196,23.4275
BGD,male,60-64,83542.581,19.6796
BGD,male,65-69,76971.704,16.142
BGD,male,70-74,68930.032,12.7177
BGD,male,75-79,57291.147,9.7661
BGD,male,80-84,42488.446,7.2765
BGD,male,85-89,26332.545,5.2004
BGD,male,90-94,11928.743,3.6033
BGD,male,95+,3224.608,2.3925
BGR,female,<1,100000.0,79.3558
BGR,female,1-4,99580.305,78.6897
BGR,female,5-9,99476.979,74.7699
BGR,female,10-14,99421.157,69.8104
BGR,female,15-19,99357.378,64.8535
BGR,female,20-24,99228.705,59.9339
BGR,female,25-29,99073.608,55.0237
BGR,female,30-34,98887.863,50.122
BGR,female,35-39,98624.465,45.2487
BGR,female,40-44,98192.895,40.4356
BGR,female,45-49,97447.123,35.7244
BGR,female,50-54,96245.011,31.1371
BGR,female,55-59,94416.609,26.6887
BGR,female,60-64,91622.276,22.4218
BGR,female,65-69,87616.316,18.3267
BGR,female,70-74,81956.312,14.4088
BGR,female,75-79,73286.81,10.7971
BGR,female,80-84,59634.565,7.6554
BGR,female,85-89,39555.661,5.2192
BGR,female,90-94,18148.626,3.4992
BGR,female,95+,4607.52,2.3969
BGR,male,<1,100000.0,72.3342
BGR,male,1-4,99447.075,71.7356
BGR,male,5-9,99344.789,67.8077
BGR,male,10-14,99264.353,62.8607
BGR,male,15-19,99157.792,57.9253
BGR,male,20-24,98873.491,53.0836
BGR,male,25-29,98496.332,48.2771
BGR,male,30-34,98041.692,43.4894
BGR,male,35-39,97422.201,38.7486
BGR,male,40-44,96504.045,34.0917
BGR,male,45-49,95049.745,29.572
