age,sex,country,population
<1,female,AUS,150948.6
1-4,female,AUS,603794.4
5-9,female,AUS,791511.0
10-14,female,AUS,772552.0
15-19,female,AUS,727204.0
20-24,female,AUS,844008.0
25-29,female,AUS,947896.0
30-34,female,AUS,964098.0
35-39,female,AUS,917630.0
40-44,female,AUS,817587.0
45-49,female,AUS,857232.0
50-54,female,AUS,794712.0
55-59,female,AUS,800893.0
60-64,female,AUS,734278.0
65-69,female,AUS,647293.0
70-74,female,AUS,559241.0
75-79,female,AUS,391008.0
80-84,female,AUS,283599.0
85-89,female,AUS,187853.0
90-94,female,AUS,99328.0
95+,female,AUS,32099.0
all-a,female,AUS,12924765.0
<1,male,AUS,159929.2
1-4,male,AUS,639716.8
5-9,male,AUS,836073.0
10-14,male,AUS,819075.0
15-19,male,AUS,772707.0
20-24,male,AUS,893475.0
25-29,male,AUS,956753.0
30-34,male,AUS,947019.0
35-39,male,AUS,906411.0
40-44,male,AUS,801332.0
45-49,male,AUS,834778.0
50-54,male,AUS,768483.0
55-59,male,AUS,770091.0
60-64,male,AUS,692021.0
65-69,male,AUS,606466.0
70-74,male,AUS,532343.0
75-79,male,AUS,360496.0
80-84,male,AUS,234714.0
85-89,male,AUS,131700.0
90-94,male,AUS,55366.0
95+,male,AUS,12200.0
all-a,male,AUS,12731149.0
<1,female,AUT,42347.8
1-4,female,AUT,169391.2
5-9,female,AUT,206017.0
10-14,female,AUT,205617.0
15-19,female,AUT,212302.0
20-24,female,AUT,251568.0
25-29,female,AUT,293258.0
30-34,female,AUT,298541.0
35-39,female,AUT,302848.0
40-44,female,AUT,281266.0
45-49,female,AUT,313949.0
50-54,female,AUT,354461.0
55-59,female,AUT,343330.0
60-64,female,AUT,289698.0
65-69,female,AUT,237153.0
70-74,female,AUT,211715.0
75-79,female,AUT,211810.0
80-84,female,AUT,145160.0
85-89,female,AUT,91738.0
90-94,female,AUT,46399.0
95+,female,AUT,14078.0
all-a,female,AUT,4522647.0
<1,male,AUT,44819.4
1-4,male,AUT,179277.6
5-9,male,AUT,219212.0
10-14,male,AUT,216377.0
15-19,male,AUT,225559.0
20-24,male,AUT,266198.0
25-29,male,AUT,308146.0
30-34,male,AUT,309076.0
35-39,male,AUT,307460.0
40-44,male,AUT,283170.0
45-49,male,AUT,308512.0
50-54,male,AUT,356950.0
55-59,male,AUT,342142.0
60-64,male,AUT,275932.0
65-69,male,AUT,213219.0
70-74,male,AUT,179927.0
75-79,male,AUT,165735.0
80-84,male,AUT,102775.0
85-89,male,AUT,51689.0
90-94,male,AUT,19577.0
95+,male,AUT,3548.0
all-a,male,AUT,4379301.0
<1,female,AZE,70687.6
1-4,female,AZE,282750.4
5-9,female,AZE,408316.0
10-14,female,AZE,368506.0
15-19,female,AZE,307795.0
20-24,female,AZE,368838.0
25-29,female,AZE,485896.0
30-34,female,AZE,479832.0
35-39,female,AZE,405970.0
40-44,female,AZE,339209.0
45-49,female,AZE,317344.0
50-54,female,AZE,339832.0
55-59,female,AZE,339443.0
60-64,female,AZE,266193.0
65-69,female,AZE,164757.0
70-74,female,AZE,93930.0
