country,sex,cause,age,source_country,death_rate_per_1000
AFG,male,T2DM,50-54,AFG,0.19469999999999998
AFG,male,T2DM,55-59,AFG,0.3308
AFG,male,T2DM,60-64,AFG,0.5920000000000001
AFG,male,T2DM,65-69,AFG,0.9262
AFG,male,T2DM,70-74,AFG,1.3535
AFG,male,T2DM,75-79,AFG,1.6387
AFG,male,T2DM,80-84,AFG,1.851
AFG,male,T2DM,85-89,AFG,2.6713999999999998
AFG,male,T2DM,90-94,AFG,2.6713999999999998
AFG,male,T2DM,95+,AFG,2.6713999999999998
AFG,male,T2DM,<1,AFG,0.008
AGO,female,CHD,1-4,AGO,0.0
AGO,female,CHD,10-14,AGO,0.0
AGO,female,CHD,15-19,AGO,0.0075
AGO,female,CHD,20-24,AGO,0.013000000000000001
AGO,female,CHD,25-29,AGO,0.013999999999999999
AGO,female,CHD,30-34,AGO,0.0362
AGO,female,CHD,35-39,AGO,0.051
AGO,female,CHD,40-44,AGO,0.1276
AGO,female,CHD,45-49,AGO,0.2882
AGO,female,CHD,5-9,AGO,0.0
AGO,female,CHD,50-54,AGO,0.5688
AGO,female,CHD,55-59,AGO,1.035
AGO,female,CHD,60-64,AGO,1.9558000000000002
AGO,female,CHD,65-69,AGO,3.7539999999999996
AGO,female,CHD,70-74,AGO,6.817
AGO,female,CHD,75-79,AGO,10.410699999999999
AGO,female,CHD,80-84,AGO,15.755
AGO,female,CHD,85-89,AGO,25.960300000000004
AGO,female,CHD,90-94,AGO,25.960300000000004
AGO,female,CHD,95+,AGO,25.960300000000004
AGO,female,CHD,<1,AGO,0.0
AGO,female,CKD,1-4,AGO,0.020399999999999998
AGO,female,CKD,10-14,AGO,0.020399999999999998
AGO,female,CKD,15-19,AGO,0.0229
AGO,female,CKD,20-24,AGO,0.0426
AGO,female,CKD,25-29,AGO,0.0417
AGO,female,CKD,30-34,AGO,0.07139999999999999
AGO,female,CKD,35-39,AGO,0.060500000000000005
AGO,female,CKD,40-44,AGO,0.10229999999999999
AGO,female,CKD,45-49,AGO,0.1484
AGO,female,CKD,5-9,AGO,0.014599999999999998
AGO,female,CKD,50-54,AGO,0.2736
AGO,female,CKD,55-59,AGO,0.38839999999999997
AGO,female,CKD,60-64,AGO,0.5065000000000001
AGO,female,CKD,65-69,AGO,0.6999
AGO,female,CKD,70-74,AGO,1.1189
AGO,female,CKD,75-79,AGO,1.8895
AGO,female,CKD,80-84,AGO,3.1396
AGO,female,CKD,85-89,AGO,7.589700000000001
AGO,female,CKD,90-94,AGO,7.589700000000001
AGO,female,CKD,95+,AGO,7.589700000000001
AGO,female,CKD,<1,AGO,0.0203
AGO,female,CRC,1-4,AGO,0.0
AGO,female,CRC,10-14,AGO,0.0
AGO,female,CRC,15-19,AGO,0.0
AGO,female,CRC,20-24,AGO,0.0031
AGO,female,CRC,25-29,AGO,0.0023
AGO,female,CRC,30-34,AGO,0.0089
AGO,female,CRC,35-39,AGO,0.020499999999999997
AGO,female,CRC,40-44,AGO,0.023700000000000002
AGO,female,CRC,45-49,AGO,0.0381
AGO,female,CRC,5-9,AGO,0.0
AGO,female,CRC,50-54,AGO,0.0665
AGO,female,CRC,55-59,AGO,0.0902
AGO,female,CRC,60-64,AGO,0.1305
AGO,female,CRC,65-69,AGO,0.2845
AGO,female,CRC,70-74,AGO,0.2039
AGO,female,CRC,75-79,AGO,0.2836
AGO,female,CRC,80-84,AGO,0.4097
AGO,female,CRC,85-89,AGO,0.5758
AGO,female,CRC,90-94,AGO,0.5758
AGO,female,CRC,95+,AGO,0.5758
AGO,female,CRC,<1,AGO,0.0
AGO,female,HaemorrhagicStroke,1-4,AGO,0.022000000000000002
AGO,female,HaemorrhagicStroke,10-14,AGO,0.0113
AGO,female,HaemorrhagicStroke,15-19,AGO,0.016200000000000003
AGO,female,HaemorrhagicStroke,20-24,AGO,0.0242
AGO,female,HaemorrhagicStroke,25-29,AGO,0.023700000000000002
AGO,female,HaemorrhagicStroke,30-34,AGO,0.051100000000000007
AGO,female,HaemorrhagicStroke,35-39,AGO,0.0754
AGO,female,HaemorrhagicStroke,40-44,AGO,0.184
AGO,female,HaemorrhagicStroke,45-49,AGO,0.3994
AGO,female,HaemorrhagicStroke,5-9,AGO,0.0103
AGO,female,HaemorrhagicStroke,50-54,AGO,0.7461
AGO,female,HaemorrhagicStroke,55-59,AGO,1.1996
AGO,female,HaemorrhagicStroke,60-64,AGO,1.9134
AGO,female,HaemorrhagicStroke,65-69,AGO,3.4143
AGO,female,HaemorrhagicStroke,70-74,AGO,4.6898
AGO,female,HaemorrhagicStroke,75-79,AGO,7.1264
AGO,female,HaemorrhagicStroke,80-84,AGO,6.9605
AGO,female,HaemorrhagicStroke,85-89,AGO,9.518099999999999
AGO,female,HaemorrhagicStroke,90-94,AGO,9.518099999999999
AGO,female,HaemorrhagicStroke,95+,AGO,9.518099999999999
AGO,female,HaemorrhagicStroke,<1,AGO,0.0269
AGO,female,StomachCancer,1-4,AGO,0.0
AGO,female,StomachCancer,10-14,AGO,0.0
AGO,female,StomachCancer,15-19,AGO,0.0014000000000000002
AGO,female,StomachCancer,20-24,AGO,0.0007000000000000001
AGO,female,StomachCancer,25-29,AGO,0.0027
AGO,female,StomachCancer,30-34,AGO,0.0009
AGO,female,StomachCancer,35-39,AGO,0.0070999999999999995
AGO,female,StomachCancer,40-44,AGO,0.009300000000000001
AGO,female,StomachCancer,45-49,AGO,0.0274
AGO,female,StomachCancer,5-9,AGO,0.0
AGO,female,StomachCancer,50-54,AGO,0.0639
AGO,female,StomachCancer,55-59,AGO,0.1217
AGO,female,StomachCancer,60-64,AGO,0.1863
AGO,female,StomachCancer,65-69,AGO,0.2462
AGO,female,StomachCancer,70-74,AGO,0.25420000000000004
AGO,female,StomachCancer,75-79,AGO,0.3044
AGO,female,StomachCancer,80-84,AGO,0.4391
AGO,female,StomachCancer,85-89,AGO,0.6788
AGO,female,StomachCancer,90-94,AGO,0.6788
AGO,female,StomachCancer,95+,AGO,0.6788
AGO,female,StomachCancer,<1,AGO,0.0
AGO,female,Stroke,1-4,AGO,0.0026
AGO,female,Stroke,10-14,AGO,0.0011
AGO,female,Stroke,15-19,AGO,0.002
