path,curve_cause,exposure,rr_mean,rr_low,rr_high,risk_lower,risk_upper,star_rating,rei_id,cause_id
sbp,CHD,184.848484848485,5.89436516029381,5.01701613059356,6.92514031019769,107.5,165.163126976954,5,107,493
sbp,CHD,185.858585858586,5.94405574094947,5.05545352148094,6.98884847845743,107.5,165.163126976954,5,107,493
sbp,CHD,186.868686868687,5.99373572212616,5.09385354204303,7.05259144382123,107.5,165.163126976954,5,107,493
sbp,CHD,187.878787878788,6.04340538038397,5.13221668802577,7.11636916595258,107.5,165.163126976954,5,107,493
sbp,CHD,188.888888888889,6.09306498257939,5.17054344218767,7.18018159929188,107.5,165.163126976954,5,107,493
sbp,CHD,189.89898989899,6.14271478629423,5.20883427479616,7.24402869339406,107.5,165.163126976954,5,107,493
sbp,CHD,190.909090909091,6.19235504024162,5.24708964409942,7.30791039324565,107.5,165.163126976954,5,107,493
sbp,CHD,191.919191919192,6.24198598465044,5.28530999677519,7.37182663956234,107.5,165.163126976954,5,107,493
sbp,CHD,192.929292929293,6.29160785162981,5.32349576835799,7.4357773690688,107.5,165.163126976954,5,107,493
sbp,CHD,193.939393939394,6.34122086551453,5.36164738364592,7.49976251476151,107.5,165.163126976954,5,107,493
sbp,CHD,194.949494949495,6.39082524319279,5.39976525708825,7.56378200615596,107.5,165.163126976954,5,107,493
sbp,CHD,195.959595959596,6.44042119441726,5.43784979315492,7.62783576951907,107.5,165.163126976954,5,107,493
sbp,CHD,196.969696969697,6.49000892210046,5.47590138668903,7.69192372808803,107.5,165.163126976954,5,107,493
sbp,CHD,197.979797979798,6.53958862259532,5.51392042324307,7.75604580227597,107.5,165.163126976954,5,107,493
sbp,CHD,198.989898989899,6.58916048596201,5.55190727940009,7.82020190986592,107.5,165.163126976954,5,107,493
sbp,CHD,200.0,6.63872469622146,5.58986232308035,7.88439196619319,107.5,165.163126976954,5,107,493
sbp,CKD,106.5,1.0,1.0,1.0,106.7,153.3,3,107,589
sbp,CKD,107.186868686869,1.00134498330377,1.00121783281247,1.00147214994265,106.7,153.3,3,107,589
sbp,CKD,107.873737373737,1.00302592115685,1.00273964285637,1.00331228118868,106.7,153.3,3,107,589
sbp,CKD,108.560606060606,1.00504286323336,1.00456533096588,1.00552062250157,106.7,153.3,3,107,589
sbp,CKD,109.247474747475,1.00739586804081,1.00669477770356,1.00809744663694,106.7,153.3,3,107,589
sbp,CKD,109.934343434343,1.01008500282346,1.0091278435604,1.01104306995351,106.7,153.3,3,107,589
sbp,CKD,110.621212121212,1.01311034345312,1.01186436918929,1.01435785196593,106.7,153.3,3,107,589
sbp,CKD,111.308080808081,1.01647197430795,1.01490417567087,1.01804219484123,106.7,153.3,3,107,589
sbp,CKD,111.994949494949,1.02016998813985,1.01824706481071,1.02209654284124,106.7,153.3,3,107,589
sbp,CKD,112.681818181818,1.02420448593089,1.02189281946622,1.02652138171291,106.7,153.3,3,107,589
sbp,CKD,113.368686868687,1.02857557673945,1.02584120390208,1.03131723802925,106.7,153.3,3,107,589
sbp,CKD,114.055555555556,1.03328337753672,1.03009196417259,1.03648467848333,106.7,153.3,3,107,589
sbp,CKD,114.742424242424,1.03832801303417,1.03464482852924,1.04202430913809,106.7,153.3,3,107,589
sbp,CKD,115.429292929293,1.04370961550271,1.0394995078518,1.04793677463492,106.7,153.3,3,107,589
sbp,CKD,116.116161616162,1.04942832458417,1.04465569610124,1.05422275736368,106.7,153.3,3,107,589
