country,risk_factor,intake_g_per_day
CZE,whole_grains,119.6578009434557
DEU,fruits,117.53603386593318
DEU,legumes,3.9291232015150417
DEU,nuts_seeds,12.021343941721693
DEU,processed_meat,82.38250112202154
DEU,red_meat,63.98258590187025
DEU,vegetables,158.41960828629004
DEU,whole_grains,38.17525889021735
DJI,fruits,52.088426082130766
DJI,legumes,54.57861263966734
DJI,nuts_seeds,0.5459204910889632
DJI,processed_meat,16.082105500757926
DJI,red_meat,18.40218889372551
DJI,vegetables,137.44115433756633
DJI,whole_grains,88.60954643541879
DNK,fruits,93.50052126991216
DNK,legumes,5.13907117066488
DNK,nuts_seeds,10.724287348969936
DNK,processed_meat,39.14196708407039
DNK,red_meat,65.37569778719313
DNK,vegetables,180.1306195224291
DNK,whole_grains,143.93781790817314
DOM,fruits,511.8085971200045
DOM,legumes,32.59756356162366
DOM,nuts_seeds,1.0591546681283173
DOM,processed_meat,19.386396951678446
DOM,red_meat,29.475031792780896
DOM,vegetables,214.40839273644573
DOM,whole_grains,8.516067407109976
DZA,fruits,166.71204989864464
DZA,legumes,14.026675348040968
DZA,nuts_seeds,3.413591933683251
DZA,processed_meat,5.178186190914217
DZA,red_meat,23.36836700558674
DZA,vegetables,344.4148019393137
DZA,whole_grains,14.374653581495645
ECU,fruits,62.43757863562513
ECU,legumes,6.205770605593231
ECU,nuts_seeds,5.817539719555007
ECU,processed_meat,6.2135743811962465
ECU,red_meat,79.50762358115192
ECU,vegetables,47.93208819584301
ECU,whole_grains,33.10347901111238
EGY,fruits,155.78267986646466
EGY,legumes,9.096544557125435
EGY,nuts_seeds,4.363474592425924
EGY,processed_meat,4.938838068190564
EGY,red_meat,24.601133190813112
EGY,vegetables,265.10640637006367
EGY,whole_grains,30.550288842084303
ERI,fruits,10.769421328269718
ERI,legumes,70.76376404205249
ERI,nuts_seeds,4.244050756708153
ERI,processed_meat,8.061179446813828
ERI,red_meat,16.79779708670862
ERI,vegetables,26.91457960202652
ERI,whole_grains,158.61137568433486
ESP,fruits,154.5631023870808
ESP,legumes,15.781874324268808
ESP,nuts_seeds,31.393192481537618
ESP,processed_meat,60.92101664925969
ESP,red_meat,104.54120298484513
ESP,vegetables,177.12727293084515
ESP,whole_grains,34.80183875363583
EST,fruits,111.64145979884316
EST,legumes,13.846258904459848
EST,nuts_seeds,6.534732655086705
EST,processed_meat,67.05533473432203
EST,red_meat,56.637842155614535
EST,vegetables,148.3979718293723
EST,whole_grains,53.85239643090365
ETH,fruits,10.769421328269718
ETH,legumes,70.76376404205249
ETH,nuts_seeds,4.244050756708153
ETH,processed_meat,16.35107010067201
ETH,red_meat,8.50790643285044
ETH,vegetables,26.91457960202652
ETH,whole_grains,158.61137568433486
FIN,fruits,100.49083446703592
FIN,legumes,11.062036377880396
FIN,nuts_seeds,5.752516516323286
FIN,processed_meat,64.83678817384123
FIN,red_meat,68.44389924311636
FIN,vegetables,153.96132746423464
FIN,whole_grains,71.10257019696598
FJI,fruits,97.1709289775118
FJI,legumes,31.78066455108237
FJI,nuts_seeds,3.633725501449443
FJI,processed_meat,11.913417350777735
FJI,red_meat,25.8392401892768
FJI,vegetables,159.24020813502673
FJI,whole_grains,40.09942843112366
FRA,fruits,119.32681232522992
FRA,legumes,3.5695083294914243
FRA,nuts_seeds,11.14445511823894
FRA,processed_meat,52.08578968646357
FRA,red_meat,81.3564703345567
FRA,vegetables,151.91957223405782
FRA,whole_grains,41.46881802902478
GAB,fruits,28.139158651403108
GAB,legumes,0.6209690112024403
GAB,nuts_seeds,35.63378900459369
GAB,processed_meat,15.327390253533173
GAB,red_meat,75.37551672316268
GAB,vegetables,63.74951797946402
GAB,whole_grains,54.47337732356195
GBR,fruits,128.32849595600254
GBR,legumes,7.733958918036794
GBR,nuts_seeds,10.662604784390805
GBR,processed_meat,53.19949599239547
GBR,red_meat,66.17649159771284
GBR,vegetables,154.21704297113132
GBR,whole_grains,63.71900061463996
GEO,fruits,80.25967847633866
GEO,legumes,0.6244065410627512
GEO,nuts_seeds,11.385717100696736
GEO,processed_meat,45.37521691395824
GEO,red_meat,10.714072256974566
GEO,vegetables,143.38414317854753
GEO,whole_grains,31.23613705954962
GHA,fruits,82.64762466342492
GHA,legumes,15.074484850772226
GHA,nuts_seeds,14.212362295951234
GHA,processed_meat,2.8177256060421594
GHA,red_meat,15.154539127511848
GHA,vegetables,42.97780488859171
GHA,whole_grains,12.602621936551085
GIN,fruits,63.7561561968983
GIN,legumes,8.882031112415111
GIN,nuts_seeds,16.24399706794182
GIN,processed_meat,14.772131227428627
GIN,red_meat,14.753801570194245
GIN,vegetables,75.35859514264686
GIN,whole_grains,66.3556586831666
GMB,fruits,8.660086232106652
GMB,legumes,2.351655342730068
GMB,nuts_seeds,38.365171181410986
GMB,processed_meat,11.259746713981112
GMB,red_meat,2.8471166147140075
GMB,vegetables,25.87596101096921
GMB,whole_grains,85.32415383790067
GNB,fruits,47.723286098194336
GNB,legumes,5.858160430001198
