country,age,lx,ex
BLR,70-74,68487.188,12.9514
BLR,75-79,57394.87,9.9526
BLR,80-84,43358.003,7.3364
BLR,85-89,27318.209,5.1634
BLR,90-94,12286.899,3.5407
BLR,95+,3167.17,2.4585
BLZ,<1,100000.0,73.7386
BLZ,1-4,99131.992,73.3831
BLZ,5-9,98954.611,69.5118
BLZ,10-14,98858.868,64.5768
BLZ,15-19,98754.422,59.6422
BLZ,20-24,98488.652,54.7955
BLZ,25-29,98073.747,50.0163
BLZ,30-34,97550.188,45.2708
BLZ,35-39,96849.924,40.5791
BLZ,40-44,95849.961,35.9748
BLZ,45-49,94368.789,31.4977
BLZ,50-54,92115.888,27.2027
BLZ,55-59,88756.547,23.132
BLZ,60-64,83887.556,19.321
BLZ,65-69,76948.44,15.8257
BLZ,70-74,67642.432,12.6451
BLZ,75-79,55793.085,9.7803
BLZ,80-84,41424.945,7.2844
BLZ,85-89,25523.476,5.2558
BLZ,90-94,11498.795,3.7726
BLZ,95+,3293.981,2.7289
BOL,<1,100000.0,68.7387
BOL,1-4,96896.793,69.9359
BOL,5-9,95960.349,66.6002
BOL,10-14,95296.913,62.0485
BOL,15-19,94905.922,57.294
BOL,20-24,94349.042,52.6161
BOL,25-29,93532.198,48.0529
BOL,30-34,92550.466,43.5355
BOL,35-39,91397.366,39.0522
BOL,40-44,89917.371,34.6521
BOL,45-49,88011.12,30.3462
BOL,50-54,85450.256,26.1771
BOL,55-59,81971.655,22.1763
BOL,60-64,77044.055,18.426
BOL,65-69,70194.777,14.967
BOL,70-74,60596.698,11.9215
BOL,75-79,48318.788,9.298
BOL,80-84,34407.854,7.0317
BOL,85-89,20172.405,5.2521
BOL,90-94,8993.979,3.8779
BOL,95+,2687.851,2.8238
BRA,<1,100000.0,76.023
BRA,1-4,98804.164,75.9416
BRA,5-9,98627.042,72.0749
BRA,10-14,98527.852,67.1451
BRA,15-19,98390.921,62.2345
BRA,20-24,97828.011,57.5756
BRA,25-29,97075.692,53.003
BRA,30-34,96367.963,48.3738
BRA,35-39,95599.856,43.7419
BRA,40-44,94649.602,39.155
BRA,45-49,93422.099,34.6351
BRA,50-54,91715.747,30.2303
BRA,55-59,89294.879,25.9784
BRA,60-64,85889.357,21.9038
BRA,65-69,80999.003,18.0665
BRA,70-74,74233.575,14.4751
BRA,75-79,64952.311,11.1637
BRA,80-84,51706.109,8.3529
BRA,85-89,35120.074,6.0895
BRA,90-94,18335.478,4.4345
BRA,95+,6662.097,3.2311
BRB,<1,100000.0,76.3316
BRB,1-4,98902.851,76.1769
BRB,5-9,98774.746,72.2739
BRB,10-14,98712.756,67.3176
BRB,15-19,98594.532,62.3951
BRB,20-24,98347.8,57.5447
BRB,25-29,97960.826,52.7618
BRB,30-34,97509.983,47.9938
BRB,35-39,96934.328,43.2633
BRB,40-44,96111.409,38.6109
BRB,45-49,94916.394,34.0639
BRB,50-54,93229.132,29.6327
BRB,55-59,90861.182,25.3362
BRB,60-64,87534.834,21.1991
BRB,65-69,82953.474,17.2247
BRB,70-74,76623.618,13.4305
BRB,75-79,67111.685,9.9511
BRB,80-84,52117.384,7.049
BRB,85-89,32137.884,4.8372
BRB,90-94,13241.277,3.3432
BRB,95+,3120.441,2.4071
BRN,<1,100000.0,75.5007
BRN,1-4,99220.84,75.0925
BRN,5-9,99067.993,71.2056
BRN,10-14,98961.169,66.28
BRN,15-19,98848.675,61.3522
BRN,20-24,98556.383,56.5258
BRN,25-29,98156.638,51.7458
BRN,30-34,97728.416,46.9614
BRN,35-39,97215.214,42.1956
BRN,40-44,96512.287,37.4836
BRN,45-49,95463.965,32.8659
BRN,50-54,93820.944,28.3945
BRN,55-59,91272.039,24.1129
BRN,60-64,87403.651,20.0622
BRN,65-69,81666.871,16.2853
BRN,70-74,73359.005,12.8302
BRN,75-79,61639.757,9.7696
BRN,80-84,46113.207,7.1845
BRN,85-89,28231.551,5.1468
BRN,90-94,12506.474,3.628
BRN,95+,3362.528,2.6024
BTN,<1,100000.0,73.2616
BTN,1-4,98166.218,73.6283
BTN,5-9,97847.435,69.8625
BTN,10-14,97663.911,64.9896
BTN,15-19,97509.429,60.0884
BTN,20-24,97225.374,55.2559
BTN,25-29,96827.955,50.4722
BTN,30-34,96398.257,45.6859
BTN,35-39,95894.432,40.9123
BTN,40-44,95228.945,36.1798
BTN,45-49,94235.308,31.533
BTN,50-54,92608.785,27.0395
BTN,55-59,90027.826,22.7378
BTN,60-64,85934.556,18.6933
BTN,65-69,79737.583,14.9392
BTN,70-74,70398.788,11.5681
BTN,75-79,57015.689,8.6675
BTN,80-84,39937.332,6.2744
BTN,85-89,21728.769,4.4635
BTN,90-94,8006.102,3.1829
BTN,95+,1701.36,2.3287
BWA,<1,100000.0,69.2929
BWA,1-4,97222.994,70.2686
BWA,5-9,96317.427,66.915
BWA,10-14,95959.765,62.156
BWA,15-19,95671.961,57.3352
BWA,20-24,95172.883,52.6215
BWA,25-29,94462.977,47.9976
BWA,30-34,93622.837,43.4052
BWA,35-39,92576.856,38.8662
BWA,40-44,91184.943,34.4195
BWA,45-49,89284.058,30.0965
BWA,50-54,86646.555,25.9323
BWA,55-59,82905.69,21.9837
BWA,60-64,77741.603,18.2691
BWA,65-69,70408.655,14.8974
BWA,70-74,60516.349,11.9067
BWA,75-79,48079.025,9.3212
BWA,80-84,33901.366,7.1609
BWA,85-89,20049.958,5.4094
BWA,90-94,9128.693,4.0767
BWA,95+,2912.883,3.0937
CAF,<1,100000.0,57.6711
CAF,1-4,93289.449,60.8009
CAF,5-9,90738.022,58.4682
CAF,10-14,89821.687,54.042
CAF,15-19,89120.264,49.447
CAF,20-24,87977.61,45.0538
CAF,25-29,86229.61,40.9141
CAF,30-34,84036.96,36.9143
CAF,35-39,81385.091,33.0332
CAF,40-44,78159.438,29.2903
CAF,45-49,74334.56,25.6656
CAF,50-54,69791.907,22.1686
CAF,55-59,64284.199,18.8479
CAF,60-64,57718.189,15.6987
CAF,65-69,49480.229,12.8811
CAF,70-74,39796.793,10.3992
CAF,75-79,29346.47,8.2062
CAF,80-84,19098.077,6.288
CAF,85-89,10153.652,4.6861
CAF,90-94,3906.766,3.5474
CAF,95+,1015.1,2.6387
CAN,<1,100000.0,82.7192
CAN,1-4,99598.985,82.0517
CAN,5-9,99532.419,78.1056
CAN,10-14,99498.065,73.1317
CAN,15-19,99448.95,68.1664
CAN,20-24,99295.725,63.267
CAN,25-29,99035.702,58.4263
CAN,30-34,98714.446,53.6081
CAN,35-39,98347.37,48.7987
CAN,40-44,97917.484,44.0016
CAN,45-49,97357.596,39.2396
CAN,50-54,96532.982,34.552
CAN,55-59,95235.385,29.9862
CAN,60-64,93204.152,25.5814
CAN,65-69,90108.693,21.369
CAN,70-74,85570.457,17.3618
CAN,75-79,78768.572,13.6311
CAN,80-84,68726.628,10.2349
CAN,85-89,53954.295,7.3133
CAN,90-94,34413.75,5.004
CAN,95+,14957.591,3.3906
CHE,<1,100000.0,84.0879
CHE,1-4,99682.733,83.3551
CHE,5-9,99637.644,79.3922
CHE,10-14,99612.22,74.4118
CHE,15-19,99579.082,69.4357
CHE,20-24,99490.423,64.4949
CHE,25-29,99355.149,59.5792
CHE,30-34,99217.182,54.6586
CHE,35-39,99052.762,49.745
CHE,40-44,98828.043,44.8521
CHE,45-49,98475.671,40.0028
CHE,50-54,97892.972,35.2248
CHE,55-59,96917.1,30.5522
CHE,60-64,95332.739,26.0155
CHE,65-69,92766.362,21.6609
CHE,70-74,88804.564,17.5094
CHE,75-79,82813.06,13.5827
CHE,80-84,73544.823,9.9553
CHE,85-89,58255.96,6.8608
CHE,90-94,35923.493,4.5113
CHE,95+,13800.548,2.9286
CHL,<1,100000.0,81.3589
