country,risk_factor,exposure_g_per_day,source_country,source_year
CIV,omega3,0.3141067732,CIV,2020
CIV,processed_meat,5.404872222,CIV,2020
CIV,red_meat,24.39038491,CIV,2020
CIV,vegetables,41.81718647,CIV,2020
CIV,whole_grains,31.98406301,CIV,2020
CMR,fruits,131.754849,CMR,2020
CMR,legumes,12.80663725,CMR,2020
CMR,nuts_seeds,15.8133729,CMR,2020
CMR,omega3,0.3388993442,CMR,2020
CMR,processed_meat,5.037115609,CMR,2020
CMR,red_meat,19.8847814,CMR,2020
CMR,vegetables,131.4290244,CMR,2020
CMR,whole_grains,83.59434411,CMR,2020
COD,fruits,84.491843,COD,2020
COD,legumes,3.023091304,COD,2020
COD,nuts_seeds,4.453443958,COD,2020
COD,omega3,0.1576284859,COD,2020
COD,processed_meat,1.154689337,COD,2020
COD,red_meat,4.884000622,COD,2020
COD,vegetables,9.268087987,COD,2020
COD,whole_grains,28.99581004,COD,2020
COG,fruits,63.62016685,COG,2020
COG,legumes,2.33961471,COG,2020
COG,nuts_seeds,4.301251319,COG,2020
COG,omega3,0.5550323731,COG,2020
COG,processed_meat,3.812870246,COG,2020
COG,red_meat,30.52904921,COG,2020
COG,vegetables,19.64303707,COG,2020
COG,whole_grains,12.37940447,COG,2020
COL,fruits,174.911573,COL,2020
COL,legumes,8.331689629,COL,2020
COL,nuts_seeds,0.9114683419,COL,2020
COL,omega3,0.2876927612,COL,2020
COL,processed_meat,3.967395804,COL,2020
COL,red_meat,43.31432961,COL,2020
COL,vegetables,85.49492152,COL,2020
COL,whole_grains,39.75227409,COL,2020
COM,fruits,157.7204951,COM,2020
COM,legumes,11.55967823,COM,2020
COM,nuts_seeds,2.40099971,COM,2020
COM,omega3,0.3089941352,COM,2020
COM,processed_meat,1.81017618,COM,2020
COM,red_meat,12.41060733,COM,2020
COM,vegetables,18.51379348,COM,2020
COM,whole_grains,13.42603717,COM,2020
CPV,fruits,60.07576148,CPV,2020
CPV,legumes,7.556808439,CPV,2020
CPV,nuts_seeds,5.738907911,CPV,2020
CPV,omega3,0.2558020474,CPV,2020
CPV,processed_meat,9.769103056,CPV,2020
CPV,red_meat,20.09467724,CPV,2020
CPV,vegetables,116.5572916,CPV,2020
CPV,whole_grains,71.61381147,CPV,2020
CRI,fruits,126.1783248,CRI,2020
CRI,legumes,7.585356859,CRI,2020
CRI,nuts_seeds,1.787756864,CRI,2020
CRI,omega3,0.3812967097,CRI,2020
CRI,processed_meat,3.575933464,CRI,2020
CRI,red_meat,33.27388059,CRI,2020
CRI,vegetables,76.46393127,CRI,2020
CRI,whole_grains,25.94235958,CRI,2020
CUB,fruits,180.4427019,CUB,2020
CUB,legumes,12.63460664,CUB,2020
CUB,nuts_seeds,0.4890957444,CUB,2020
CUB,omega3,0.2302125771,CUB,2020
CUB,processed_meat,1.762960528,CUB,2020
CUB,red_meat,45.39658572,CUB,2020
CUB,vegetables,171.4518621,CUB,2020
CUB,whole_grains,36.60985716,CUB,2020
CYP,fruits,137.4972221,CYP,2020
CYP,legumes,3.507524613,CYP,2020
CYP,nuts_seeds,5.016858403,CYP,2020
CYP,omega3,0.43270882,CYP,2020
CYP,processed_meat,21.80595403,CYP,2020
CYP,red_meat,55.24443699,CYP,2020
CYP,vegetables,98.68353304,CYP,2020
CYP,whole_grains,33.71865551,CYP,2020
CZE,fruits,94.78041133,CZE,2020
CZE,legumes,1.876858578,CZE,2020
CZE,nuts_seeds,2.339092413,CZE,2020
